"emailThumbnail","thumbnailPath","emailID","emailName","emailSubject","recipients","deliveries","open","unopen","bounce","click","spamComplaint","unsubscribes","leadDomains","uniqueOpens","uniqueClicks","hardBounces","softBounces","domains"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/192266ffd0c82259835781842449269/thmb-2679407618-1728041158.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/192266ffd0c82259835781842449269/thmb-2679407618-1728041158.png","2679407618","Debt-Claims GDPR - book a demo","Debt-Claims GDPR - book a demo","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/263266ffd16ce4a8f48647305266744/thmb-2679408642-1728041323.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/263266ffd16ce4a8f48647305266744/thmb-2679408642-1728041323.png","2679408642","test","test","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/4872678925050998774327810696187/thmb-2679411714-1737041155.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/4872678925050998774327810696187/thmb-2679411714-1737041155.png","2679411714","Demo Request GDPR","Demo Request GDPR","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/8209678924df481f574063798738518/thmb-2679415810-1737041117.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/8209678924df481f574063798738518/thmb-2679415810-1737041117.png","2679415810","GDPR email","Thank you for getting in touch","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15381674d94a6e468e73659477091664/thmb-2679739394-1733137573.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15381674d94a6e468e73659477091664/thmb-2679739394-1733137573.png","2679739394","DC Initial Cold Email 1 - Matt","DC Initial Cold Email 1 - Matt","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15528674d94b50384948498692430824/thmb-2679741442-1733137587.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15528674d94b50384948498692430824/thmb-2679741442-1733137587.png","2679741442","DC Initial Cold Email 2 - Matt","Free for a chat?","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15512674d94c62679b29839195427112/thmb-2679742466-1733137604.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/15512674d94c62679b29839195427112/thmb-2679742466-1733137604.png","2679742466","DC Initial Cold Email 3 - Matt","Quick chat about {$companyName}","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/1933674d94d6b820749634064853979/thmb-2679743490-1733137621.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/1933674d94d6b820749634064853979/thmb-2679743490-1733137621.png","2679743490","DC Initial Cold Email 4 - Matt","Chat about your debt recovery","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/107236716560f99e0427084372698272/thmb-2679785474-1729517069.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/107236716560f99e0427084372698272/thmb-2679785474-1729517069.png","2679785474","Debt-Claims Quarterly Newsletter - October 2024","Debt-Claims Quarterly Newsletter - October 2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://debt-claimssolicitors.marketingautomation.services/includes/img/email-templates/bee-template-thumbs/your-personalized-nutrition.jpg","https://debt-claimssolicitors.marketingautomation.services/includes/img/email-templates/bee-template-thumbs/your-personalized-nutrition.jpg","2682104834","TEST 1","TEST 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/189667892f3975db315616649217221/thmb-400000030054402-1737043767.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/189667892f3975db315616649217221/thmb-400000030054402-1737043767.png","400000030054402","Leave us a review","👉 Help us improve - leave a review.","9","9","7","6","0","0","0","0","9","3","0","0","0","1, 1, 1, 1, 1, 1, 1, 1, 1"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/190267e284c8ddfda77994426470200/thmb-400000042791938-1742898375.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/190267e284c8ddfda77994426470200/thmb-400000042791938-1742898375.png","400000042791938","You&rsquo;re Invited","You&rsquo;re Invited","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/22139674d9389c380973951379990595/thmb-2679715842-1733137288.png","https://ss-usa.s3.amazonaws.com/c/312743936/emailThumb/22139674d9389c380973951379990595/thmb-2679715842-1733137288.png","2679715842","DC Outreach Email 1 - Matt","Action steps from our recent conversation","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
